State,CPI,year
Missouri,89.9,2013
Montana,94.6,2013
Nebraska,90.7,2013
Nevada,98.7,2013
New Hampshire,105.4,2013
New Jersey,113.4,2013
New Mexico,95.3,2013
New York,115.2,2013
North Carolina,91.8,2013
North Dakota,91.7,2013
Ohio,89.5,2013
Oklahoma,90.0,2013
Oregon,98.9,2013
Pennsylvania,98.6,2013
Rhode Island,98.8,2013
South Carolina,90.5,2013
South Dakota,88.0,2013
Tennessee,90.7,2013
Texas,96.3,2013
Utah,97.7,2013
Vermont,100.9,2013
Virginia,102.8,2013
Washington,104.2,2013
West Virginia,88.6,2013
Wisconsin,93.2,2013
Wyoming,96.0,2013
Alabama,87.2,2014
Alaska,106.3,2014
Arizona,96.2,2014
Arkansas,87.1,2014
California,113.4,2014
Colorado,102.5,2014
Connecticut,108.6,2014
Delaware,101.4,2014
District of Columbia,118.0,2014
Florida,99.4,2014
Georgia,92.0,2014
Hawaii,118.3,2014
Idaho,93.6,2014
Illinois,99.7,2014
Indiana,91.0,2014
Iowa,90.3,2014
Kansas,90.7,2014
Kentucky,88.3,2014
Louisiana,91.0,2014
Maine,97.4,2014
Maryland,110.1,2014
Massachusetts,106.9,2014
Michigan,93.7,2014
Minnesota,97.5,2014
Mississippi,86.3,2014
Missouri,89.5,2014
Montana,94.5,2014
Nebraska,90.5,2014
Nevada,98.0,2014
New Hampshire,105.2,2014
New Jersey,114.0,2014
New Mexico,95.1,2014
New York,115.7,2014
North Carolina,91.5,2014
North Dakota,91.6,2014
Ohio,89.2,2014
Oklahoma,89.7,2014
Oregon,99.2,2014
Pennsylvania,98.0,2014
Rhode Island,99.1,2014
South Carolina,90.1,2014
South Dakota,87.9,2014
Tennessee,89.9,2014
Texas,96.5,2014
Utah,97.2,2014
Vermont,101.8,2014
Virginia,102.6,2014
Washington,104.8,2014
West Virginia,88.4,2014
Wisconsin,93.3,2014
Wyoming,96.6,2014
Alabama,86.8,2015
Alaska,105.6,2015
Arizona,96.2,2015
Arkansas,87.4,2015
California,113.4,2015
Colorado,103.2,2015
Connecticut,108.7,2015
Delaware,100.4,2015
District of Columbia,117.0,2015
Florida,99.5,2015
Georgia,92.6,2015
Hawaii,118.8,2015
Idaho,93.4,2015
Illinois,99.7,2015
Indiana,90.7,2015
Iowa,90.3,2015
Kansas,90.4,2015
Kentucky,88.6,2015
Louisiana,90.6,2015
Maine,98.0,2015
Maryland,109.6,2015
Massachusetts,106.9,2015
Michigan,93.5,2015
Minnesota,97.4,2015
Mississippi,86.2,2015
Missouri,89.3,2015
Montana,94.8,2015
Nebraska,90.6,2015
Nevada,98.0,2015
New Hampshire,105.0,2015
New Jersey,113.4,2015
New Mexico,94.4,2015
New York,115.3,2015
North Carolina,91.2,2015
North Dakota,92.3,2015
Ohio,89.2,2015
Oklahoma,89.9,2015
Oregon,99.2,2015
Pennsylvania,97.9,2015
Rhode Island,98.7,2015
South Carolina,90.3,2015
South Dakota,88.2,2015
Tennessee,89.9,2015
Texas,96.8,2015
Utah,97.0,2015
Vermont,101.6,2015
Virginia,102.5,2015
Washington,104.8,2015
West Virginia,88.9,2015
Wisconsin,93.1,2015
Wyoming,96.2,2015
Alabama,86.6,2016
Alaska,105.4,2016
Arizona,95.9,2016
Arkansas,86.9,2016
California,114.4,2016
Colorado,103.0,2016
Connecticut,108.7,2016
Delaware,100.2,2016
District of Columbia,115.9,2016
Florida,99.7,2016
Georgia,92.1,2016
Hawaii,118.4,2016
Idaho,93.0,2016
Illinois,98.9,2016
Indiana,90.3,2016
Iowa,90.2,2016
Kansas,90.5,2016
Kentucky,87.8,2016
Louisiana,90.4,2016
Maine,98.4,2016
Maryland,109.5,2016
Massachusetts,107.8,2016
Michigan,93.3,2016
Minnesota,97.5,2016
Mississippi,86.4,2016
Missouri,89.5,2016
Montana,94.1,2016
Nebraska,90.5,2016
Nevada,97.4,2016
New Hampshire,105.9,2016
New Jersey,113.2,2016
New Mexico,93.6,2016
New York,115.6,2016
North Carolina,90.9,2016
North Dakota,91.5,2016
Ohio,89.3,2016
Oklahoma,89.0,2016
Oregon,99.8,2016
Pennsylvania,98.4,2016
Rhode Island,99.6,2016
South Carolina,90.3,2016
South Dakota,88.3,2016
Tennessee,90.2,2016
Texas,96.9,2016
Utah,97.3,2016
Vermont,101.6,2016
Virginia,102.3,2016
Washington,105.5,2016
West Virginia,87.6,2016
Wisconsin,92.8,2016
Wyoming,96.7,2016
